TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"거제","202504","네이버카페","0.00000",,,,"4.30000","215.00000","섬","34.8931951","128.6091247","경상남도 거제시 장평동 7-9","경상남도","거제시","1675964.00000","1853659.00000","-9.60000","8176119.00000","7235447.00000","940672.00000"
"청계천","202504","네이버카페","0.00000",,,,"4.50000","9348.00000","공원","37.5691015","126.9786692","서울특별시 중구 무교동 80-1","서울특별시","중구","11936438.00000","13247027.00000","-9.90000","80442389.00000","54299851.00000","26142538.00000"
"김해공항","202504","네이버카페","0.00000",,,,"4.10000","4168.00000","국제 공항","37.5655","126.8013","서울특별시 강서구 하늘길 112","서울특별시","강서구","6822221.00000","7629496.00000","-10.60000","67206312.00000","57179077.00000","10027235.00000"
"한라산","202504","네이버카페","10.00000","10.00000",,"1.00000","4.70000","743.00000","산봉우리","33.3616666","126.5291666","제주특별자치도 제주시 오등동 산57번지 한라산골프장내","제주특별자치도","제주시","3594356.00000","3200932.00000","12.30000","31516588.00000","23224578.00000","8292010.00000"
"제주공항","202504","네이버카페","10.00000","10.00000",,"1.00000","4.40000","19159.00000","국제 공항","33.5071","126.4934","제주특별자치도 제주시 특별자치도 공항로 2","제주특별자치도","제주시","4639442.00000","4567598.00000","1.60000","62508172.00000","46670009.00000","15838163.00000"
"코엑스몰","202504","네이버카페","0.00000",,,,"4.30000","23861.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","영동대로","18179983.00000","19186622.00000","-5.20000","216926401.00000","114933401.00000","101993000.00000"
"창경궁","202504","네이버카페","6.00000",,,,"4.70000","4337.00000","문화적 랜드마크","37.5787512","126.9948775","서울특별시 종로구 와룡동 2-1","서울특별시","종로구","11936438.00000","13247027.00000","-9.90000","80442389.00000","54299851.00000","26142538.00000"
"인천국제공항","202504","네이버카페","16.00000",,"4.00000","-1.00000","4.50000","31729.00000","국제공항","37.458666","126.4419679","인천광역시 중구 공항로 272 인천국제공항 (ICN)","인천광역시","중구","7518427.00000","8447425.00000","-11.00000","115663113.00000","69560219.00000","46102894.00000"
"성산 일출봉","202504","네이버카페","4.00000",,,,"4.70000","1628.00000","산봉우리","33.4180535","126.8648302","제주특별자치도 서귀포시 성산읍 난산리 1672","제주특별자치도","서귀포시","3594356.00000","3200932.00000","12.30000","31516588.00000","23224578.00000","8292010.00000"
"안동 하회마을","202504","네이버카페","4.00000","4.00000",,"1.00000","4.20000","6882.00000","관광 명소","36.5494088","128.5271269","경상북도 안동시 풍천면 하회리 279번지","경상북도","안동시","1277951.00000","1493842.00000","-14.50000","5521088.00000","5217445.00000","303643.00000"
